"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"1-115545-A-48.wav","/m/0g6b5","","fire","","ESC50/1-115545-A-48.wav","ESC50","train","exterior","True","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-115545-B-48.wav","/m/0g6b5","","fire","","ESC50/1-115545-B-48.wav","ESC50","test","exterior","True","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-115545-C-48.wav","/m/0g6b5","","fire","","ESC50/1-115545-C-48.wav","ESC50","train","exterior","True","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-115546-A-48.wav","/m/0g6b5","","fire","","ESC50/1-115546-A-48.wav","ESC50","train","exterior","True","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-137296-A-16.wav","/m/0ngt1","","weather","","ESC50/1-137296-A-16.wav","ESC50","train","exterior","False","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-155858-A-25.wav","/C/footsteps_6508b080","","footsteps","","ESC50/1-155858-A-25.wav","ESC50","train","","","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-155858-B-25.wav","/C/footsteps_6508b080","","footsteps","","ESC50/1-155858-B-25.wav","ESC50","train","","","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-155858-C-25.wav","/C/footsteps_6508b080","","footsteps","","ESC50/1-155858-C-25.wav","ESC50","train","","","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-155858-D-25.wav","/C/footsteps_6508b080","","footsteps","","ESC50/1-155858-D-25.wav","ESC50","train","","","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-155858-E-25.wav","/C/footsteps_6508b080","","footsteps","","ESC50/1-155858-E-25.wav","ESC50","train","","","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-155858-F-25.wav","/C/footsteps_6508b080","","footsteps","","ESC50/1-155858-F-25.wav","ESC50","train","","","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-160563-A-48.wav","/m/0g6b5","","fire","","ESC50/1-160563-A-48.wav","ESC50","train","exterior","True","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-160563-B-48.wav","/m/0g6b5","","fire","","ESC50/1-160563-B-48.wav","ESC50","train","exterior","True","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
"1-17124-A-43.wav","/m/0912c9","","car_horn","","ESC50/1-17124-A-43.wav","ESC50","test","indefinida","False","True","wav","5.0","44100","Mono","16","705600","430.71","2026-05-07 22:08:46"
