"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"143604-5-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/143604-5-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","2.367","44100","Stereo","16","1411200","407.73","2024-01-26 04:02:14"
"50668-5-3-thunderstorm-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/50668-5-3-thunderstorm-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","3.64","44100","Mono","32","1411200","627.09","2024-01-26 04:02:40"
"209992-5-2-7-thunderstorm-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/209992-5-2-7-thunderstorm-0.wav","Enhanced_audio_of_accident","test","","False","False","True","wav","4.0","48000","Mono","32","1536000","750.04","2024-01-26 04:02:30"
"156634-5-2.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/156634-5-2.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","36.0","44100","Stereo","16","1411200","6201.61","2024-01-26 04:02:20"
"151877-5-1.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/151877-5-1.wav","Enhanced_audio_of_accident","test","","False","False","True","wav","4.0","44100","Stereo","16","1411200","689.11","2024-01-26 04:02:18"
"209992-5-2-11-wind-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/209992-5-2-11-wind-0.wav","Enhanced_audio_of_accident","test","","False","False","True","wav","8.0","48000","Mono","32","1536000","1500.04","2024-01-26 04:02:30"
"186935-5-0-rain-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/186935-5-0-rain-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","8.0","44100","Mono","16","705600","689.11","2024-01-26 04:02:22"
"113205-5-0-rain-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/113205-5-0-rain-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","3.24","96000","Mono","32","3072000","1215.04","2024-01-26 04:02:10"
"143604-5-0-road_traffic-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/143604-5-0-road_traffic-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","2.367","44100","Mono","16","705600","203.92","2024-01-26 04:02:14"
"144068-5-3.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/144068-5-3.wav","Enhanced_audio_of_accident","test","","False","False","True","wav","3.887","48000","Stereo","32","3072000","1457.65","2024-01-26 04:02:16"
"194962-5-0-road_traffic-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/194962-5-0-road_traffic-0.wav","Enhanced_audio_of_accident","test","","False","False","True","wav","12.0","48000","Mono","16","768000","1125.04","2024-01-26 04:02:26"
"89724-5-0-wind-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/89724-5-0-wind-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","24.0","44100","Mono","16","705600","2067.23","2024-01-26 04:02:44"
"89724-5-0-thunderstorm-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/89724-5-0-thunderstorm-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","24.0","44100","Mono","16","705600","2067.23","2024-01-26 04:02:44"
"209992-5-2-7-wind-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/209992-5-2-7-wind-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","4.0","48000","Mono","32","1536000","750.04","2024-01-26 04:02:30"
"50668-5-3.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/50668-5-3.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","3.64","44100","Stereo","32","2822400","1254.07","2024-01-26 04:02:40"
"91209-5-1-rain-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/91209-5-1-rain-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","24.0","48000","Mono","16","768000","2250.04","2024-01-26 04:02:46"
"200786-5-1-road_traffic-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/200786-5-1-road_traffic-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","24.0","44100","Mono","16","705600","2067.23","2024-01-26 04:02:26"
"106905-5-0-road_traffic-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/106905-5-0-road_traffic-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","12.0","44100","Mono","16","705600","1033.64","2024-01-26 04:02:08"
"91533-5-0-thunderstorm-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/91533-5-0-thunderstorm-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","16.0","48000","Mono","16","768000","1500.04","2024-01-26 04:02:48"
"141240-5-1-rain-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/141240-5-1-rain-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","2.85","44100","Mono","32","1411200","491.0","2024-01-26 04:02:14"
"166101-5-2-rain-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/166101-5-2-rain-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","20.0","44100","Mono","16","705600","1722.7","2024-01-26 04:02:20"
"186938-5-0-thunderstorm-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/186938-5-0-thunderstorm-0.wav","Enhanced_audio_of_accident","test","","False","False","True","wav","1.81","48000","Mono","16","768000","169.73","2024-01-26 04:02:22"
"50661-5-0-road_traffic-0.wav","/C/engine_ad1943a9","[""/C/engine_ad1943a9""]","engine","[""engine""]","/home/andres/Documentos/proyecto4geeks/data/raw/Enhanced_audio_of_accident/engine_idling/50661-5-0-road_traffic-0.wav","Enhanced_audio_of_accident","train","","False","False","True","wav","24.0","44100","Mono","32","1411200","4134.42","2024-01-26 04:02:36"
