"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"3 (1).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (1).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (10).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (10).wav","Guns_DS","test","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (11).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (11).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (12).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (12).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (13).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (13).wav","Guns_DS","test","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (14).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (14).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (15).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (15).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (16).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (16).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (17).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (17).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (18).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (18).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (19).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (19).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (2).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (2).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (20).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (20).wav","Guns_DS","train","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
"3 (21).wav","/C/gun_shot_2778111f","[""/C/gun_shot_2778111f""]","gun_shot","[""gun_shot""]","E:\Proyectos\proyecto4geeks\data\raw\Guns_DS\AK-12\3 (21).wav","Guns_DS","test","indefinida","True","True","True","wav","2.0","44100","Stereo","16","1411200","344.57","2023-04-08 21:36:48"
