"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"100032-3-0-0.wav","/m/05tny_","","dog","","UrbanSound8k//fold5\100032-3-0-0.wav","UrbanSound8k","train","indefinida","True","False","True","wav","0.318","44100","Stereo","16.0","1411200.0","54.75","2020-02-04 18:47:04"
"100263-2-0-117.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-117.wav","UrbanSound8k","train","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:04"
"100263-2-0-121.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-121.wav","UrbanSound8k","test","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100263-2-0-126.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-126.wav","UrbanSound8k","test","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100263-2-0-137.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-137.wav","UrbanSound8k","test","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100263-2-0-143.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-143.wav","UrbanSound8k","test","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100263-2-0-161.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-161.wav","UrbanSound8k","train","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100263-2-0-3.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-3.wav","UrbanSound8k","train","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100263-2-0-36.wav","/C/human_activity_6f5e2785","","human_activity","","UrbanSound8k//fold5\100263-2-0-36.wav","UrbanSound8k","train","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100648-1-0-0.wav","/m/0912c9","","car_horn","","UrbanSound8k//fold10\100648-1-0-0.wav","UrbanSound8k","test","indefinida","True","False","True","wav","0.649","44100","Stereo","16.0","1411200.0","111.76","2020-02-04 18:41:00"
"100648-1-1-0.wav","/m/0912c9","","car_horn","","UrbanSound8k//fold10\100648-1-1-0.wav","UrbanSound8k","test","indefinida","True","False","True","wav","1.05","44100","Stereo","16.0","1411200.0","180.92","2020-02-04 18:41:00"
"100648-1-2-0.wav","/m/0912c9","","car_horn","","UrbanSound8k//fold10\100648-1-2-0.wav","UrbanSound8k","train","indefinida","True","False","True","wav","0.405","44100","Stereo","16.0","1411200.0","69.87","2020-02-04 18:41:00"
"100648-1-3-0.wav","/m/0912c9","","car_horn","","UrbanSound8k//fold10\100648-1-3-0.wav","UrbanSound8k","train","indefinida","True","False","True","wav","1.62","44100","Stereo","16.0","1411200.0","279.11","2020-02-04 18:41:00"
"100648-1-4-0.wav","/m/0912c9","","car_horn","","UrbanSound8k//fold10\100648-1-4-0.wav","UrbanSound8k","train","indefinida","True","False","True","wav","1.86","44100","Stereo","16.0","1411200.0","320.46","2020-02-04 18:41:00"
"100652-3-0-0.wav","/m/05tny_","","dog","","UrbanSound8k//fold2\100652-3-0-0.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:42:24"
"100652-3-0-1.wav","/m/05tny_","","dog","","UrbanSound8k//fold2\100652-3-0-1.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:42:24"
"100652-3-0-2.wav","/m/05tny_","","dog","","UrbanSound8k//fold2\100652-3-0-2.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:42:24"
"100652-3-0-3.wav","/m/05tny_","","dog","","UrbanSound8k//fold2\100652-3-0-3.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:42:24"
"100795-3-0-0.wav","/m/05tny_","","dog","","UrbanSound8k//fold10\100795-3-0-0.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:41:00"
"100795-3-1-0.wav","/m/05tny_","","dog","","UrbanSound8k//fold10\100795-3-1-0.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:41:00"
"100795-3-1-1.wav","/m/05tny_","","dog","","UrbanSound8k//fold10\100795-3-1-1.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:41:00"
"100795-3-1-2.wav","/m/05tny_","","dog","","UrbanSound8k//fold10\100795-3-1-2.wav","UrbanSound8k","train","indefinida","True","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:41:00"
"100852-0-0-0.wav","/C/ambient_noise_88e0ae0f","","ambient_noise","","UrbanSound8k//fold5\100852-0-0-0.wav","UrbanSound8k","train","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100852-0-0-1.wav","/C/ambient_noise_88e0ae0f","","ambient_noise","","UrbanSound8k//fold5\100852-0-0-1.wav","UrbanSound8k","train","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
"100852-0-0-10.wav","/C/ambient_noise_88e0ae0f","","ambient_noise","","UrbanSound8k//fold5\100852-0-0-10.wav","UrbanSound8k","train","indefinida","False","False","True","wav","4.0","44100","Stereo","16.0","1411200.0","689.11","2020-02-04 18:47:06"
