"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"synthetic_001_1.00_4.40.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_1.00_4.40.wav","VOICe","train","indefinida","True","False","True","","","","","","","",""
"synthetic_001_104.84_106.98.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_104.84_106.98.wav","VOICe","test","indefinida","True","False","True","wav","2.14","44100.0","Mono","16.0","705600.0","184.4","2026-05-14 17:48:36"
"synthetic_001_109.98_111.00.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_109.98_111.00.wav","VOICe","train","indefinida","True","False","True","wav","1.02","44100.0","Mono","16.0","705600.0","87.93","2026-05-14 17:48:36"
"synthetic_001_112.00_115.34.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_112.00_115.34.wav","VOICe","train","indefinida","True","False","True","wav","3.34","44100.0","Mono","16.0","705600.0","287.76","2026-05-14 17:48:36"
"synthetic_001_12.28_15.44.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_12.28_15.44.wav","VOICe","test","indefinida","True","False","True","wav","3.16","44100.0","Mono","16.0","705600.0","272.26","2026-05-14 17:48:33"
"synthetic_001_120.34_121.96.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_120.34_121.96.wav","VOICe","test","indefinida","True","False","True","wav","1.62","44100.0","Mono","16.0","705600.0","139.61","2026-05-14 17:48:36"
"synthetic_001_126.96_128.44.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_126.96_128.44.wav","VOICe","train","indefinida","True","False","True","wav","1.48","44100.0","Mono","16.0","705600.0","127.55","2026-05-14 17:48:37"
"synthetic_001_133.44_134.38.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_133.44_134.38.wav","VOICe","train","indefinida","True","False","True","wav","0.94","44100.0","Mono","16.0","705600.0","81.04","2026-05-14 17:48:37"
"synthetic_001_139.38_140.62.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_139.38_140.62.wav","VOICe","train","indefinida","True","False","True","wav","1.24","44100.0","Mono","16.0","705600.0","106.88","2026-05-14 17:48:37"
"synthetic_001_145.62_148.04.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_145.62_148.04.wav","VOICe","test","indefinida","True","False","True","wav","2.42","44100.0","Mono","16.0","705600.0","208.52","2026-05-14 17:48:37"
"synthetic_001_152.04_157.14.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_152.04_157.14.wav","VOICe","train","indefinida","True","False","True","wav","5.1","44100.0","Mono","16.0","705600.0","439.35","2026-05-14 17:48:38"
"synthetic_001_159.14_160.22.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_159.14_160.22.wav","VOICe","test","indefinida","True","False","True","wav","1.08","44100.0","Mono","16.0","705600.0","93.1","2026-05-14 17:48:38"
"synthetic_001_16.44_18.06.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_16.44_18.06.wav","VOICe","train","indefinida","True","False","True","wav","1.62","44100.0","Mono","16.0","705600.0","139.61","2026-05-14 17:48:33"
"synthetic_001_163.22_166.58.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_163.22_166.58.wav","VOICe","test","indefinida","True","False","True","wav","3.36","44100.0","Mono","16.0","705600.0","289.48","2026-05-14 17:48:38"
"synthetic_001_167.58_169.38.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_167.58_169.38.wav","VOICe","train","indefinida","True","False","True","wav","1.8","44100.0","Mono","16.0","705600.0","155.12","2026-05-14 17:48:38"
"synthetic_001_171.38_176.26.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_171.38_176.26.wav","VOICe","train","indefinida","True","False","True","wav","4.88","44100.0","Mono","16.0","705600.0","420.4","2026-05-14 17:48:38"
"synthetic_001_177.26_179.74.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_177.26_179.74.wav","VOICe","train","indefinida","True","False","True","wav","2.48","44100.0","Mono","16.0","705600.0","213.69","2026-05-14 17:48:38"
"synthetic_001_23.06_24.10.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_23.06_24.10.wav","VOICe","train","indefinida","True","False","True","wav","1.04","44100.0","Mono","16.0","705600.0","89.65","2026-05-14 17:48:34"
"synthetic_001_35.74_38.72.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_35.74_38.72.wav","VOICe","train","indefinida","True","False","True","wav","2.98","44100.0","Mono","16.0","705600.0","256.75","2026-05-14 17:48:34"
"synthetic_001_42.72_44.88.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_42.72_44.88.wav","VOICe","train","indefinida","True","False","True","wav","2.16","44100.0","Mono","16.0","705600.0","186.12","2026-05-14 17:48:34"
"synthetic_001_45.88_48.14.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_45.88_48.14.wav","VOICe","test","indefinida","True","False","True","wav","2.26","44100.0","Mono","16.0","705600.0","194.74","2026-05-14 17:48:34"
"synthetic_001_52.14_52.92.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_52.14_52.92.wav","VOICe","test","indefinida","True","False","True","wav","0.78","44100.0","Mono","16.0","705600.0","67.26","2026-05-14 17:48:34"
"synthetic_001_55.92_58.66.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_55.92_58.66.wav","VOICe","train","indefinida","True","False","True","wav","2.74","44100.0","Mono","16.0","705600.0","236.08","2026-05-14 17:48:34"
"synthetic_001_61.66_65.24.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_61.66_65.24.wav","VOICe","train","indefinida","True","False","True","wav","3.58","44100.0","Mono","16.0","705600.0","308.43","2026-05-14 17:48:35"
"synthetic_001_67.24_69.68.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_67.24_69.68.wav","VOICe","train","indefinida","True","False","True","wav","2.44","44100.0","Mono","16.0","705600.0","210.24","2026-05-14 17:48:35"
"synthetic_001_7.40_9.28.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_7.40_9.28.wav","VOICe","train","indefinida","True","False","True","wav","1.88","44100.0","Mono","16.0","705600.0","162.01","2026-05-14 17:48:33"
"synthetic_001_72.68_76.72.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_72.68_76.72.wav","VOICe","train","indefinida","True","False","True","wav","4.04","44100.0","Mono","16.0","705600.0","348.05","2026-05-14 17:48:35"
"synthetic_001_79.72_81.44.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_79.72_81.44.wav","VOICe","train","indefinida","True","False","True","wav","1.72","44100.0","Mono","16.0","705600.0","148.22","2026-05-14 17:48:35"
"synthetic_001_82.44_84.62.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_82.44_84.62.wav","VOICe","train","indefinida","True","False","True","wav","2.18","44100.0","Mono","16.0","705600.0","187.85","2026-05-14 17:48:35"
"synthetic_001_88.62_91.02.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_88.62_91.02.wav","VOICe","train","indefinida","True","False","True","wav","2.4","44100.0","Mono","16.0","705600.0","206.79","2026-05-14 17:48:35"
"synthetic_001_92.02_94.04.wav","/C/crying_300aeae2","[""/C/crying_300aeae2""]","crying","[""crying""]","/home/andres/Documentos/proyecto4geeks/data/raw/VOICe/babycry/synthetic_001_92.02_94.04.wav","VOICe","train","indefinida","True","False","True","wav","2.02","44100.0","Mono","16.0","705600.0","174.06","2026-05-14 17:48:35"
