audio,label,labels,human_label,human_labels,path,dataset_source,split,env,alertable,emergency,file_exists,audio_format,duration,sample_rate,channels,bit_depth,bit_velocity,size,date_modification
-4RWqM0UCCY.wav,engine,['engine'],engine,['engine'],sonidos\engine\-4RWqM0UCCY.wav,AudioSet,train,exterior,False,False,True,wav,10.008,44100,Stereo,PCM_16,unknown,1724.08,2026-05-12 06:37:46.503716
-By_0iIghuE.wav,fight,['fight'],fight,['fight'],sonidos\fight\-By_0iIghuE.wav,AudioSet,train,indefinida,True,True,True,wav,19.994,48000,Stereo,PCM_16,unknown,3748.86,2026-05-12 06:49:18.046550
-fnhkx-XXeI.wav,fight,['fight'],fight,['fight'],sonidos\fight\-fnhkx-XXeI.wav,AudioSet,train,indefinida,True,True,True,wav,19.994,48000,Stereo,PCM_16,unknown,3748.86,2026-05-12 13:02:30.562666
-hDuDDv0lbQ.wav,fight,['fight'],fight,['fight'],sonidos\fight\-hDuDDv0lbQ.wav,AudioSet,train,indefinida,True,True,True,wav,19.994,48000,Stereo,PCM_16,unknown,3748.86,2026-05-12 13:11:41.926817
-j3aoa1bEyA.wav,fight,['fight'],fight,['fight'],sonidos\fight\-j3aoa1bEyA.wav,AudioSet,train,indefinida,True,True,True,wav,9.901,44100,Stereo,PCM_16,unknown,1705.69,2026-05-12 13:13:30.562869
-qGd1JwYLbQ.wav,fight,['fight'],fight,['fight'],sonidos\fight\-qGd1JwYLbQ.wav,AudioSet,train,indefinida,True,True,True,wav,10.008,44100,Stereo,PCM_16,unknown,1724.11,2026-05-12 13:34:29.368101
-qJ-NY6wY3s.wav,fight,['fight'],fight,['fight'],sonidos\fight\-qJ-NY6wY3s.wav,AudioSet,train,indefinida,True,True,True,wav,10.008,44100,Stereo,PCM_16,unknown,1724.11,2026-05-12 13:34:33.275081
-Ry1YNVPPCM.wav,fight,['fight'],fight,['fight'],sonidos\fight\-Ry1YNVPPCM.wav,AudioSet,train,indefinida,True,True,True,wav,18.689,48000,Stereo,PCM_16,unknown,3504.33,2026-05-12 12:25:19.351545
02q5C77_xeQ.wav,fight,['fight'],fight,['fight'],sonidos\fight\02q5C77_xeQ.wav,AudioSet,train,indefinida,True,True,True,wav,10.017,44100,Stereo,PCM_16,unknown,1725.67,2026-05-12 13:43:49.566357
-60XojQWWoc.wav,glass_metal,['glass_metal'],glass_metal,['glass_metal'],sonidos\glass_breaking\-60XojQWWoc.wav,AudioSet,train,indefinido,True,False,True,wav,19.994,48000,Stereo,PCM_16,unknown,3748.86,2026-05-12 06:39:14.584403
-AIrHVeCgtM.wav,glass_metal,['glass_metal'],glass_metal,['glass_metal'],sonidos\glass_breaking\-AIrHVeCgtM.wav,AudioSet,train,indefinido,True,False,True,wav,19.994,48000,Stereo,PCM_16,unknown,3748.86,2026-05-12 11:59:48.474998
--aE2O5G5WE.wav,gun_shot,['gun_shot'],gun_shot,['gun_shot'],sonidos\gunshot\--aE2O5G5WE.wav,AudioSet,train,indefinida,True,True,True,wav,10.008,44100,Stereo,PCM_16,unknown,1724.08,2026-05-12 06:27:49.569143
--PJHxphWEs.wav,gun_shot,['gun_shot'],gun_shot,['gun_shot'],sonidos\gunshot\--PJHxphWEs.wav,AudioSet,train,indefinida,True,True,True,wav,10.008,44100,Stereo,PCM_16,unknown,1724.11,2026-05-12 11:56:50.881729
-30H9V1IKps.wav,gun_shot,['gun_shot'],gun_shot,['gun_shot'],sonidos\gunshot\-30H9V1IKps.wav,AudioSet,train,indefinida,True,True,True,wav,9.0,44100,Stereo,PCM_16,unknown,1550.48,2026-05-12 06:37:20.348469
