"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"0_Cat_19321.wav","/m/07qrkrw","","another_animal","","driver_safety/train/0_Cat_19321.wav","driver_safety","train","","False","False","True","wav","0.883","16000","Mono","32","512000","55.26","2026-05-20 00:32:23"
"0_Door_2634.wav","/m/0fqfqc","","doors","","driver_safety/test/0_Door_2634.wav","driver_safety","test","","False","False","True","wav","0.397","16000","Mono","32","512000","24.82","2026-05-20 00:33:14"
"0_Notifications_2633.wav","/m/01hnzm","","notifications","","driver_safety/test/0_Notifications_2633.wav","driver_safety","test","","False","False","True","wav","1.987","16000","Mono","32","512000","124.25","2026-05-20 00:33:14"
"0_TrainHorn_19320.wav","/m/0k5j","","traffic","","driver_safety/train/0_TrainHorn_19320.wav","driver_safety","train","","True","False","True","wav","2.638","16000","Mono","32","512000","164.93","2026-05-20 00:32:23"
"0_Yawn_2632.wav","/m/02y_763","","ambient_noise","","driver_safety/test/0_Yawn_2632.wav","driver_safety","test","","False","False","True","wav","2.063","16000","Mono","32","512000","129.0","2026-05-20 00:33:14"
"10001_Ambulance_21697.wav","/m/07pp_mv","","siren_alarm","","driver_safety/train/10001_Ambulance_21697.wav","driver_safety","train","","True","True","True","wav","4.787","16000","Mono","32","512000","299.26","2026-05-20 00:32:27"
"10001_CarHorn_21696.wav","/m/0k5j","","traffic","","driver_safety/train/10001_CarHorn_21696.wav","driver_safety","train","","True","False","True","wav","1.861","16000","Mono","32","512000","116.37","2026-05-20 00:32:27"
"10001_Car_21698.wav","/m/0k5j","","traffic","","driver_safety/train/10001_Car_21698.wav","driver_safety","train","","True","False","True","wav","3.872","16000","Mono","32","512000","242.04","2026-05-20 00:32:27"
"10001_Cry_21695.wav","/m/0463cq4","","crying","","driver_safety/train/10001_Cry_21695.wav","driver_safety","train","","True","False","True","wav","4.105","16000","Mono","32","512000","256.6","2026-05-20 00:32:27"
"10002_Yawn_42536.wav","/m/02y_763","","ambient_noise","","driver_safety/train/10002_Yawn_42536.wav","driver_safety","train","","False","False","True","wav","1.612","16000","Mono","32","512000","100.79","2026-05-20 00:32:56"
"10003_Cat_30370.wav","/m/07qrkrw","","another_animal","","driver_safety/train/10003_Cat_30370.wav","driver_safety","train","","False","False","True","wav","0.77","16000","Mono","32","512000","48.14","2026-05-20 00:32:39"
"10003_Cry_30369.wav","/m/0463cq4","","crying","","driver_safety/train/10003_Cry_30369.wav","driver_safety","train","","True","False","True","wav","6.988","16000","Mono","32","512000","436.8","2026-05-20 00:32:39"
"10004_CarHorn_10142.wav","/m/0k5j","","traffic","","driver_safety/train/10004_CarHorn_10142.wav","driver_safety","train","","True","False","True","wav","2.426","16000","Mono","32","512000","151.67","2026-05-20 00:32:12"
"10004_Notifications_10141.wav","/m/01hnzm","","notifications","","driver_safety/train/10004_Notifications_10141.wav","driver_safety","train","","False","False","True","wav","1.057","16000","Mono","32","512000","66.08","2026-05-20 00:32:12"
"10005_Drift_32892.wav","/C/car_crash_cdd2e745","","car_crash","","driver_safety/train/10005_Drift_32892.wav","driver_safety","train","","True","True","True","wav","0.856","16000","Mono","32","512000","53.54","2026-05-20 00:32:42"
"10005_TrainHorn_32891.wav","/m/0k5j","","traffic","","driver_safety/train/10005_TrainHorn_32891.wav","driver_safety","train","","True","False","True","wav","3.4","16000","Mono","32","512000","212.52","2026-05-20 00:32:42"
"10006_CarHorn_26186.wav","/m/0k5j","","traffic","","driver_safety/train/10006_CarHorn_26186.wav","driver_safety","train","","True","False","True","wav","3.659","16000","Mono","32","512000","228.74","2026-05-20 00:32:33"
"10006_Crash_26185.wav","/C/car_crash_cdd2e745","","car_crash","","driver_safety/train/10006_Crash_26185.wav","driver_safety","train","","True","True","True","wav","0.687","16000","Mono","32","512000","42.96","2026-05-20 00:32:33"
"10007_Car_16250.wav","/m/0k5j","","traffic","","driver_safety/train/10007_Car_16250.wav","driver_safety","train","","True","False","True","wav","3.332","16000","Mono","32","512000","208.27","2026-05-20 00:32:19"
"10007_Cry_16248.wav","/m/0463cq4","","crying","","driver_safety/train/10007_Cry_16248.wav","driver_safety","train","","True","False","True","wav","6.406","16000","Mono","32","512000","400.44","2026-05-20 00:32:19"
"10008_Helicopter_1849.wav","/m/0k5j","","traffic","","driver_safety/train/10008_Helicopter_1849.wav","driver_safety","train","","True","False","True","wav","7.595","16000","Mono","32","512000","474.74","2026-05-20 00:32:04"
"10008_Yawn_1850.wav","/m/02y_763","","ambient_noise","","driver_safety/train/10008_Yawn_1850.wav","driver_safety","train","","False","False","True","wav","1.502","16000","Mono","32","512000","93.89","2026-05-20 00:32:04"
