"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"Violence (216).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (216).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:22"
"Violence (99).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (99).wav","emergencysound","test","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:24"
"Violence (17).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (17).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:22"
"Violence (5).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (5).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:24"
"Violence (159).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (159).wav","emergencysound","test","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:22"
"Violence (162).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (162).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:22"
"Violence (324).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (324).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:24"
"Violence (308).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (308).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:24"
"Violence (235).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (235).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:22"
"Violence (184).wav","/C/fight_9e6417eb","[""/C/fight_9e6417eb""]","fight","[""fight""]","/home/andres/Documentos/proyecto4geeks/data/raw/emergencysound/Violence/Violence (184).wav","emergencysound","train","","True","True","True","wav","1.0","44100","Mono","16","705600","86.18","2025-09-25 17:15:22"
