id_label,audio,folder,label,human_label,labels,human_labels,danger_level,split,dataset_source,duration,sample_rate,channels,bit_depth,bit_velocity,siz,date_modification,environment,emergency
0,03-01-05-01-01-01-01.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.8705416666666665,48000,Mono,16,,421.431640625,1778097342.3132238,interior,True
1,03-01-05-01-01-01-02.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.6703333333333332,48000,Mono,16,,403.634765625,1778097342.7060194,interior,True
2,03-01-05-01-01-01-03.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,4.004,48000,Mono,16,,423.87109375,1778097343.1080058,interior,True
3,03-01-05-01-01-01-04.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.703708333333333,48000,Mono,16,,403.30859375,1778097343.5959098,interior,True
4,03-01-05-01-01-01-05.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.8705416666666665,48000,Mono,16,,411.115234375,1778097343.9958205,interior,True
5,03-01-05-01-01-01-06.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.7704375,48000,Mono,16,,399.728515625,1778097344.408278,interior,True
6,03-01-05-01-01-01-07.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,4.004,48000,Mono,16,,423.65234375,1778097344.901179,interior,True
7,03-01-05-01-01-01-08.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.703708333333333,48000,Mono,16,,383.466796875,1778097345.3651433,interior,True
8,03-01-05-01-01-01-09.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.5702291666666666,48000,Mono,16,,380.87109375,1778097345.8254027,interior,True
9,03-01-05-01-01-01-10.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.9038958333333333,48000,Mono,16,,424.5625,1778097346.2847908,interior,True
10,03-01-05-01-01-01-11.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.6036041666666665,48000,Mono,16,,383.962890625,1778097346.7438278,interior,True
11,03-01-05-01-01-01-12.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,4.2709375,48000,Mono,16,,446.66796875,1778097347.2039826,interior,True
12,03-01-05-01-01-01-13.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.4367708333333336,48000,Mono,16,,370.400390625,1778097347.6634443,interior,True
13,03-01-05-01-01-01-14.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.6035833333333334,48000,Mono,16,,397.38671875,1778097348.1059108,interior,True
14,03-01-05-01-01-01-15.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.636979166666667,48000,Mono,16,,390.17578125,1778097348.549541,interior,True
15,03-01-05-01-01-01-16.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.970645833333333,48000,Mono,16,,430.8359375,1778097349.0125186,interior,True
16,03-01-05-01-01-01-17.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.4701458333333335,48000,Mono,16,,373.998046875,1778097349.4831436,interior,True
17,03-01-05-01-01-01-18.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.9038958333333333,48000,Mono,16,,424.328125,1778097349.9419808,interior,True
18,03-01-05-01-01-01-19.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.7704375,48000,Mono,16,,399.908203125,1778097350.4166965,interior,True
19,03-01-05-01-01-01-20.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.2365833333333334,48000,Mono,16,,361.96875,1778097350.891735,interior,True
20,03-01-05-01-01-01-21.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,4.137479166666667,48000,Mono,16,,445.80859375,1778097351.3826556,interior,True
21,03-01-05-01-01-01-22.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.703708333333333,48000,Mono,16,,404.32421875,1778097351.8585536,interior,True
22,03-01-05-01-01-01-23.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.3033125,48000,Mono,16,,365.513671875,1778097352.3322568,interior,True
23,03-01-05-01-01-01-24.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,4.104104166666667,48000,Mono,16,,439.931640625,1778097352.760514,interior,True
24,03-01-05-01-01-02-01.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.9372708333333333,48000,Mono,16,,427.6875,1778097342.331141,interior,True
25,03-01-05-01-01-02-02.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.6703333333333332,48000,Mono,16,,403.634765625,1778097342.7092764,interior,True
26,03-01-05-01-01-02-03.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,4.070729166666666,48000,Mono,16,,430.119140625,1778097343.111688,interior,True
27,03-01-05-01-01-02-04.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.6036041666666665,48000,Mono,16,,393.923828125,1778097343.6047897,interior,True
28,03-01-05-01-01-02-05.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.8037916666666667,48000,Mono,16,,404.857421875,1778097344.0053372,interior,True
29,03-01-05-01-01-02-06.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.970625,48000,Mono,16,,418.49609375,1778097344.416924,interior,True
30,03-01-05-01-01-02-07.wav,angry,yell,yell,yell,yell,2,train,RAVDESS,3.970645833333333,48000,Mono,16,,420.525390625,1778097344.908854,interior,True
