"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","alertable","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"100.wav","/m/07qcpgn","[""/m/07qcpgn"", ""/m/07pggtn"", ""/m/034srq"", ""/m/020bb7"", ""/m/015p6"", ""/m/01280g"", ""/m/0jbk"", ""/m/05kq4"", ""/m/0838f""]","glass_metal","[""glass_metal"", ""another_animal"", ""weather"", ""water""]","zenodo/100.wav","zenodo","test","indefinido","True","False","True","wav","18.553","44100","Mono","16","705600","1598.1","2020-06-16 00:50:43"
"10000.wav","/m/0lyf6","[""/m/0lyf6"", ""/m/09hlz4""]","breathing","[""breathing""]","zenodo/10000.wav","zenodo","train","interior","False","False","True","wav","0.428","44100","Mono","16","705600","36.9","2020-06-16 00:54:40"
"100005.wav","/m/05r5wn","[""/m/05r5wn"", ""/m/0l14md"", ""/m/04szw"", ""/m/04rlf""]","glass_metal","[""glass_metal"", ""instrument"", ""ambient_noise""]","zenodo/100005.wav","zenodo","train","indefinido","True","False","True","wav","0.399","44100","Mono","16","705600","34.47","2020-06-16 00:54:38"
"100006.wav","/m/05r5wn","[""/m/05r5wn"", ""/m/0l14md"", ""/m/04szw"", ""/m/04rlf""]","glass_metal","[""glass_metal"", ""instrument"", ""ambient_noise""]","zenodo/100006.wav","zenodo","train","indefinido","True","False","True","wav","0.822","44100","Mono","16","705600","70.9","2020-06-16 00:55:33"
"100007.wav","/m/05r5wn","[""/m/05r5wn"", ""/m/0l14md"", ""/m/04szw"", ""/m/04rlf""]","glass_metal","[""glass_metal"", ""instrument"", ""ambient_noise""]","zenodo/100007.wav","zenodo","train","indefinido","True","False","True","wav","0.8","44100","Mono","16","705600","68.98","2020-06-16 00:55:21"
"10001.wav","/m/0lyf6","[""/m/0lyf6"", ""/m/09hlz4""]","breathing","[""breathing""]","zenodo/10001.wav","zenodo","train","interior","False","False","True","wav","0.506","44100","Mono","16","705600","43.64","2020-06-16 00:54:35"
"100011.wav","/m/0ngt1","[""/m/0ngt1"", ""/m/0jb2l""]","weather","[""weather""]","zenodo/100011.wav","zenodo","train","exterior","False","False","True","wav","8.247","44100","Mono","16","705600","710.45","2020-06-16 00:55:45"
"100017.wav","/m/07p7b8y","[""/m/07p7b8y"", ""/m/07pqc89"", ""/m/04k94"", ""/m/07prgkl""]","water","[""water""]","zenodo/100017.wav","zenodo","train","interior","False","False","True","wav","9.423","44100","Mono","16","705600","811.7","2020-06-16 00:55:05"
"100018.wav","/m/01jt3m","[""/m/01jt3m"", ""/m/07swgks"", ""/t/dd00071"", ""/m/0838f""]","water","[""water"", ""domestic_activity""]","zenodo/100018.wav","zenodo","train","interior","False","False","True","wav","18.17","44100","Mono","16","705600","1565.13","2020-06-16 00:54:50"
"100019.wav","/m/01s0vc","[""/m/01s0vc"", ""/t/dd00071""]","domestic_activity","[""domestic_activity""]","zenodo/100019.wav","zenodo","train","indefinida","False","False","True","wav","6.631","44100","Mono","16","705600","571.2","2020-06-16 00:54:38"
