canonical,alertable,environment
bass,False,indefinida
guitar,False,indefinida
strings,False,indefinida
keyboard_music,False,interior
brass,False,indefinida
percussion,False,indefinida
animal,False,exterior
dog,True,indefinida
cat,False,indefinida
bird,False,exterior
insect,False,exterior
voice,False,interior
singing,False,interior
laughter,False,indefinida
yell,True,interior
breathing,False,interior
crying,False,interior
alert_higth,True,indefinida
fight,True,indefinida
alert_low,True,indefinida
car_horn,True,indefinida
engine,False,indefinida
traffic,False,exterior
tools,False,interior
doors,False,interior
glass_metal,True,interior
water,False,interior
weather,False,exterior
fire,True,indefinida
explosion,True,indefinida
food,False,interior
paper,False,interior
machine,False,interior
movement,False,indefinida
ambient_noise,False,indefinida
human_activity,False,indefinida
construction_noise,True,indefinida
music,False,indefinida
gun_shot,True,indefinida
