canonical,alertable,environment,emergency
bass,False,indefinida,False
guitar,False,indefinida,False
strings,False,indefinida,False
keyboard_music,False,interior,False
brass,False,indefinida,False
percussion,False,indefinida,False
animal,False,exterior,False
dog,True,indefinida,False
cat,False,indefinida,False
bird,False,exterior,False
insect,False,exterior,False
voice,False,interior,False
singing,False,interior,False
laughter,False,indefinida,False
yell,True,interior,False
breathing,False,interior,False
crying,True,indefinida,False
alert_higth,True,indefinida,False
fight,True,indefinida,True
alert_low,True,indefinida,False
car_horn,True,indefinida,False
engine,False,indefinida,False
traffic,False,exterior,False
tools,False,interior,False
doors,False,interior,False
glass_metal,True,interior,False
water,False,interior,False
weather,False,exterior,False
fire,True,indefinida,True
explosion,True,indefinida,True
food,False,interior,False
paper,False,interior,False
machine,False,interior,False
movement,False,indefinida,False
ambient_noise,False,indefinida,False
human_activity,False,indefinida,False
construction_noise,True,indefinida,False
music,False,indefinida,False
gun_shot,True,indefinida,True
