canonical,alertable,environment,emergency
instrument,False,indefinida,False
dog,True,indefinida,False
another_animal,False,exterior,False
voice,False,indefinida,False
breathing,False,interior,False
crying,True,indefinida,False
alert_sirem,True,exterior,True
fight,True,indefinida,True
car_horn,True,exterior,False
engine,False,exterior,False
traffic,True,exterior,False
doors,False,interior,False
glass_metal,True,indefinido,False
water,False,interior,False
weather,False,exterior,False
construction_noise,True,exterior,False
fire,True,indefinida,True
explosion,True,indefinida,True
domestic_activity,False,indefinida,False
machine,False,interior,False
ambient_noise,False,indefinida,False
gun_shot,True,indefinida,True
crime,True,exterior,True
car_crash,True,exterior,True
