canonical,synonym
bass,Bass_drum
bass,Bass_guitar
guitar,Acoustic_guitar
guitar,Electric_guitar
guitar,Guitar
guitar,Strum
guitar,Wind_instrument_and_woodwind_instrument
strings,Bowed_string_instrument
strings,Plucked_string_instrument
strings,Harp
keyboard_music,Accordion
keyboard_music,Keyboard_(musical)
keyboard_music,Piano
keyboard_music,Organ
brass,Brass_instrument
brass,Trumpet
brass,Harmonica
percussion,Percussion
percussion,Drum
percussion,Drum_kit
percussion,Snare_drum
percussion,Cymbal
percussion,Crash_cymbal
percussion,Hi-hat
percussion,Tabla
percussion,Tambourine
percussion,Mallet_percussion
percussion,Marimba_and_xylophone
percussion,Glockenspiel
percussion,Cowbell
percussion,Rattle_(instrument)
animal,Animal
animal,Domestic_animals_and_pets
animal,Livestock_and_farm_animals_and_working_animals
animal,Wild_animals
dog,Dog
dog,Bark
dog,dog_bark
dog,Growling
cat,Cat
cat,Meow
cat,Purr
bird,Bird
bird,Bird_vocalization_and_bird_call_and_bird_song
bird,Chirp_and_tweet
bird,Crow
bird,Chicken_and_rooster
bird,Fowl
bird,Gull_and_seagull
insect,Insect
insect,Cricket
voice,Speech
voice,Human_voice
voice,Conversation
voice,Chatter
voice,Whispering
voice,Female_speech_and_woman_speaking
voice,Male_speech_and_man_speaking
voice,Child_speech_and_kid_speaking
voice,Speech_synthesizer
voice,RAVDESS_surprised
voice,Surprised_speech
singing,Singing
singing,Male_singing
singing,Female_singing
laughter,Applause
laughter,Cheering
laughter,Clapping
laughter,Chuckle_and_chortle
laughter,Giggle
laughter,Laughter
yell,Yell
yell,Shout
yell,Screaming
yell,scream
yell,RAVDESS_angry
yell,Angry_speech
yell,RAVDESS_fearful
yell,Fearful_speech
breathing,Breathing
breathing,Gasp
breathing,Sigh
breathing,Cough
breathing,Sneeze
breathing,Respiratory_sounds
breathing,Hiss
crying,Crying_and_sobbing
crying,RAVDESS_disgust
crying,Disgust_speech
alert_higth,Alarm
alert_higth,Siren
alert_higth,siren
fight,fight
alert_low,Ringtone
alert_low,Bell
alert_low,Bicycle_bell
alert_low,Church_bell
alert_low,Chime
alert_low,Wind_chime
alert_low,Clock
alert_low,Tick
alert_low,Tick-tock
car_horn,Vehicle_horn_and_car_horn_and_honking
car_horn,car_horn
engine,Engine
engine,engine
engine,Idling
engine,Engine_starting
engine,Accelerating_and_revving_and_vroom
traffic,Traffic_noise_and_roadway_noise
traffic,Car_passing_by
traffic,Motor_vehicle_(road)
traffic,Vehicle
traffic,Bus
traffic,Car
traffic,Truck
traffic,Motorcycle
traffic,Race_car_and_auto_racing
traffic,Bicycle
traffic,Train
traffic,Rail_transport
traffic,Subway_and_metro_and_underground
traffic,Aircraft
traffic,Fixed-wing_aircraft_and_airplane
traffic,Boat_and_Water_vehicle
tools,Tools
tools,Hammer
tools,Sawing
tools,Scissors
tools,Power_tool
tools,Drill
tools,Drilling
doors,Door
doors,Doorbell
doors,Drawer_open_or_close
doors,Sliding_door
doors,Cupboard_open_or_close
doors,Knock
glass_metal,Glass
glass_metal,Shatter
glass_metal,Crack
glass_metal,Crackle
glass_metal,Chink_and_clink
glass_metal,Coin_(dropping)
glass_metal,Keys_jangling
glass_metal,Rattle
glass_metal,Rattle_(instrument)
glass_metal,Crushing
glass_metal,Slam
glass_metal,Thump_and_thud
glass_metal,Tap
glass_metal,glass_breaking
water,Water
water,Liquid
water,Pour
water,Splash_and_splatter
water,Stream
water,Trickle_and_dribble
water,Drip
water,Boiling
water,Bathtub_(filling_or_washing)
water,Sink_(filling_or_washing)
water,Water_tap_and_faucet
water,Gurgling
water,Fill_(with_liquid)
weather,Rain
weather,Raindrop
weather,Thunder
weather,Thunderstorm
weather,Wind
weather,wind
weather,Waves_and_surf
weather,Ocean
weather,Whoosh_and_swoosh_and_swish
fire,Fire
fire,Fireworks
fire,fireworks
explosion,Explosion
food,Chewing_and_mastication
food,Frying_(food)
food,Microwave_oven
food,Dishes_and_pots_and_pans
food,Cutlery_and_silverware
food,Burping_and_eructation
food,Fart
paper,Crumpling_and_crinkling
paper,Tearing
paper,Writing
paper,Packing_tape_and_duct_tape
paper,Wood
machine,Mechanisms
machine,Ratchet_and_pawl
machine,Computer_keyboard
machine,Typing
machine,Printer
machine,Zipper_(clothing)
movement,Run
movement,Walk_and_footsteps
movement,Sliding_door
ambient_noise,ambient_noise
ambient_noise,Air_conditioner
ambient_noise,AC
ambient_noise,Aircon
ambient_noise,Air_conditioning
human_activity,human_activity
human_activity,Children_playing
human_activity,Kids_playing
human_activity,Playground_activity
construction_noise,Jackhammer
construction_noise,Pneumatic_jackhammer
construction_noise,Pneumatic_drill
music,Street_music
music,music
music,Busking
music,Live_music
music,Street_performance
gun_shot,Gun_shot
gun_shot,Gunshot
gun_shot,gunshot
gun_shot,Firearm_discharge
water,Toilet_flush
