old_filename,new_filename,event_label,onset,offset,output_path
1096.wav,1096_Helicopter_0.wav,Helicopter,2.127149,9.18337,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1096_Helicopter_0.wav
1096.wav,1096_Dog_1.wav,Dog,3.5674078,3.9640706,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1096_Dog_1.wav
1096.wav,1096_Train_2.wav,Train,5.374677,9.666372,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1096_Train_2.wav
1096.wav,1096_TruckHorn_3.wav,TruckHorn,6.0763745,8.34332,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1096_TruckHorn_3.wav
10890.wav,10890_Yawn_4.wav,Yawn,0.62024266,3.4500659,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10890_Yawn_4.wav
10890.wav,10890_TruckHorn_5.wav,TruckHorn,2.6282623,4.2687006,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10890_TruckHorn_5.wav
14286.wav,14286_Notifications_6.wav,Notifications,0.29972,0.361186,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14286_Notifications_6.wav
14286.wav,14286_Cough_7.wav,Cough,4.8862047,9.679203,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14286_Cough_7.wav
14286.wav,14286_Yawn_8.wav,Yawn,5.841585,6.772308,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14286_Yawn_8.wav
14286.wav,14286_Yawn_9.wav,Yawn,7.8596187,9.190254,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14286_Yawn_9.wav
12249.wav,12249_BoatHorn_10.wav,BoatHorn,0.9045451,3.2946749,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12249_BoatHorn_10.wav
12249.wav,12249_Police_11.wav,Police,5.59332,7.6578984,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12249_Police_11.wav
