	filename	event_label	onset	offset
0	1096.wav	Helicopter	2.127149	9.18337
1	1096.wav	Dog	3.5674078	3.9640706
2	1096.wav	Train	5.374677	9.666372
3	1096.wav	TruckHorn	6.0763745	8.34332
4	10890.wav	Yawn	0.62024266	3.4500659
5	10890.wav	TruckHorn	2.6282623	4.2687006
6	14286.wav	Notifications	0.29972	0.361186
7	14286.wav	Cough	4.8862047	9.679203
8	14286.wav	Yawn	5.841585	6.772308
9	14286.wav	Yawn	7.8596187	9.190254
10	12249.wav	BoatHorn	0.9045451	3.2946749
11	12249.wav	Police	5.59332	7.6578984
12	960.wav	BoatHorn	2.6500144	4.625421
13	960.wav	WarningBeeps	4.1938214	10.0
14	960.wav	Dog	5.841226	10.0
15	960.wav	Cough	6.056555	10.0
16	960.wav	Notifications	7.340994	7.952263
17	12424.wav	Wiper	2.1903694	10.0
18	12424.wav	Notifications	3.7445679	7.1398563
19	12424.wav	BoatHorn	5.418616	10.0
20	13122.wav	Yawn	0.9225947	10.0
21	13122.wav	Ambulance	2.7215884	4.014537
22	13122.wav	Yawn	8.074834	8.9258175
23	14573.wav	Rain	1.0310589	4.8139143
24	14573.wav	Dog	5.4905615	5.8342853
25	14573.wav	Notifications	6.3001976	6.3699784
26	13299.wav	TrainHorn	3.0620694	10.0
27	13299.wav	BoatHorn	4.4250107	7.845372
28	13299.wav	Sing	5.458746	8.2602005
29	14651.wav	Firefighters	1.8011088	10.0
30	14651.wav	Sneeze	3.584195	4.165462
31	14651.wav	TrainHorn	4.4430156	7.034067
32	14651.wav	Airplane	4.826682	7.6588883
33	14651.wav	Speech	7.4756284	9.20309
34	10511.wav	Sing	2.8916814	10.0
35	10511.wav	CarHorn	4.0879283	8.73172
36	10511.wav	Ambulance	5.248535	10.0
37	10511.wav	ManipulatingObjects	6.205107	10.0
38	8474.wav	TrainHorn	2.1279256	10.0
39	8474.wav	Speech	3.039203	5.1929746
40	8474.wav	Cough	5.9085236	8.869487
41	8474.wav	CarHorn	7.225815	8.097196
42	3363.wav	RingTone	0.393824	6.421646
43	3363.wav	CarHorn	2.8254528	4.583108
44	3363.wav	Window	5.443496	9.471322
45	3363.wav	BoatHorn	7.360072	10.0
46	2136.wav	Speech	4.2720613	10.0
47	2136.wav	Cat	7.966729	8.589716
48	7371.wav	Cat	3.762065	4.0211496
49	7371.wav	TruckHorn	4.1830297	6.300965
50	7371.wav	Dog	4.2878027	4.78046
51	7112.wav	Speech	0.0	10.0
52	7112.wav	Train	0.0	10.0
53	7112.wav	TrainHorn	3.7768571	10.0
54	7112.wav	Notifications	4.7247376	5.300417
55	11570.wav	WarningBeeps	1.4608771	7.7923093
56	11570.wav	TruckHorn	7.995633	10.0
57	9470.wav	Firefighters	3.2753012	6.343586
