canonical,synonym,emergency,environment
bass,Bass_drum,False,indefinida
bass,Bass_guitar,False,indefinida
guitar,Acoustic_guitar,False,indefinida
guitar,Electric_guitar,False,indefinida
guitar,Guitar,False,indefinida
guitar,Strum,False,indefinida
guitar,Wind_instrument_and_woodwind_instrument,false,indefinida
strings,Bowed_string_instrument,False,indefinida
strings,Plucked_string_instrument,False,indefinida
strings,Harp,False,indefinida
keyboard_music,Accordion,False,interior
keyboard_music,Keyboard_(musical),False,interior
keyboard_music,Piano,False,interior
keyboard_music,Organ,False,interior
brass,Brass_instrument,False,indefinida
brass,Trumpet,False,indefinida
brass,Harmonica,False,indefinida
percussion,Percussion,False,indefinida
percussion,Drum,False,indefinida
percussion,Drum_kit,False,indefinida
percussion,Snare_drum,False,indefinida
percussion,Cymbal,False,indefinida
percussion,Crash_cymbal,False,indefinida
percussion,Hi-hat,False,indefinida
percussion,Tabla,False,indefinida
percussion,Tambourine,False,indefinida
percussion,Mallet_percussion,False,indefinida
percussion,Marimba_and_xylophone,False,indefinida
percussion,Glockenspiel,False,indefinida
percussion,Cowbell,False,indefinida
percussion,Rattle_(instrument),False,indefinida
animal,Animal,False,exterior
animal,Domestic_animals_and_pets,False,exterior
animal,Livestock_and_farm_animals_and_working_animals,False,exterior
animal,Wild_animals,False,exterior
dog,Dog,False,indefinida
dog,Bark,False,indefinida
dog,dog_bark,False,indefinida
dog,Growling,False,indefinida
cat,Cat,False,indefinida
cat,Meow,False,indefinida
cat,Purr,False,indefinida
bird,Bird,False,exterior
bird,Bird_vocalization_and_bird_call_and_bird_song,False,exterior
bird,Chirp_and_tweet,False,exterior
bird,Crow,False,exterior
bird,Chicken_and_rooster,False,exterior
bird,Fowl,False,exterior
bird,Gull_and_seagull,False,exterior
insect,Insect,False,exterior
insect,Cricket,False,exterior
voice,Speech,False,interior
voice,Human_voice,False,interior
voice,Conversation,False,interior
voice,Chatter,False,interior
voice,Whispering,False,interior
voice,Female_speech_and_woman_speaking,False,interior
voice,Male_speech_and_man_speaking,False,interior
voice,Child_speech_and_kid_speaking,False,interior
voice,Speech_synthesizer,False,interior
voice,RAVDESS_surprised,False,interior
voice,Surprised_speech,False,interior
singing,Singing,False,interior
singing,Male_singing,False,interior
singing,Female_singing,False,interior
laughter,Applause,False,indefinida
laughter,Cheering,False,indefinida
laughter,Clapping,False,indefinida
laughter,Chuckle_and_chortle,False,indefinida
laughter,Giggle,False,indefinida
laughter,Laughter,False,indefinida
yell,Yell,False,indefinida
yell,Shout,False,indefinida
yell,Screaming,False,indefinida
yell,scream,False,indefinida
yell,RAVDESS_angry,True,interior
yell,Angry_speech,True,interior
yell,RAVDESS_fearful,True,interior
yell,Fearful_speech,True,interior
breathing,Breathing,False,interior
breathing,Gasp,False,interior
breathing,Sigh,False,interior
breathing,Cough,False,interior
breathing,Sneeze,False,interior
breathing,Respiratory_sounds,False,interior
breathing,Hiss,False,interior
crying,Crying_and_sobbing,False,interior
crying,RAVDESS_disgust,True,interior
crying,Disgust_speech,True,interior
alert_higth,Alarm,True,indefinida
alert_higth,Siren,True,indefinida
alert_higth,siren,True,indefinida
fight,fight,True,indefinida
alert_low,Ringtone,False,indefinida
alert_low,Bell,False,indefinida
alert_low,Bicycle_bell,False,indefinida
alert_low,Church_bell,False,indefinida
alert_low,Chime,False,indefinida
alert_low,Wind_chime,False,indefinida
alert_low,Clock,False,indefinida
alert_low,Tick,False,indefinida
alert_low,Tick-tock,False,indefinida
car_horn,Vehicle_horn_and_car_horn_and_honking,False,indefinida
car_horn,car_horn,False,indefinida
engine,Engine,False,indefinida
engine,engine,False,indefinida
engine,Idling,False,indefinida
engine,Engine_starting,False,indefinida
engine,Accelerating_and_revving_and_vroom,False,indefinida
traffic,Traffic_noise_and_roadway_noise,False,exterior
traffic,Car_passing_by,False,exterior
traffic,Motor_vehicle_(road),False,exterior
traffic,Vehicle,False,exterior
traffic,Bus,False,exterior
traffic,Car,False,exterior
traffic,Truck,False,exterior
traffic,Motorcycle,False,exterior
traffic,Race_car_and_auto_racing,False,exterior
traffic,Bicycle,False,exterior
traffic,Train,False,exterior
traffic,Rail_transport,False,exterior
traffic,Subway_and_metro_and_underground,False,exterior
traffic,Aircraft,False,exterior
traffic,Fixed-wing_aircraft_and_airplane,False,exterior
traffic,Boat_and_Water_vehicle,False,exterior
tools,Tools,False,interior
tools,Hammer,False,interior
tools,Sawing,False,interior
tools,Scissors,False,interior
tools,Power_tool,False,interior
tools,Drill,False,interior
tools,Drilling,False,interior
doors,Door,False,interior
doors,Doorbell,False,interior
doors,Drawer_open_or_close,False,interior
doors,Sliding_door,False,interior
doors,Cupboard_open_or_close,False,interior
doors,Knock,False,interior
glass_metal,Glass,False,interior
glass_metal,Shatter,False,interior
glass_metal,Crack,False,interior
glass_metal,Crackle,False,interior
glass_metal,Chink_and_clink,False,interior
glass_metal,Coin_(dropping),False,interior
glass_metal,Keys_jangling,False,interior
glass_metal,Rattle,False,interior
glass_metal,Rattle_(instrument),False,interior
glass_metal,Crushing,False,interior
