canonical,synonym
ambient_noise,AC
ambient_noise,Air_conditioner
ambient_noise,Air_conditioning
ambient_noise,Aircon
ambient_noise,Finger_snapping
ambient_noise,Sliding_door
ambient_noise,Window
ambient_noise,Wood
ambient_noise,Yawn
ambient_noise,Chink_and_clink
ambient_noise,ambient_noise
ambient_noise,ambient_noise_raw
ambient_noise,human_activity_bg
another_animal,Animal
another_animal,Bird
another_animal,Bird_vocalization_and_bird_call_and_bird_song
another_animal,Cat
another_animal,Chicken_and_rooster
another_animal,Chirp_and_tweet
another_animal,Cricket
another_animal,Crow
another_animal,Domestic_animals_and_pets
another_animal,Fowl
another_animal,Frog
another_animal,Gull_and_seagull
another_animal,Insect
another_animal,Livestock_and_farm_animals_and_working_animals
another_animal,Meow
another_animal,Purr
another_animal,Wild_animals
another_animal,another_animal
breathing,Breathing
breathing,Cough
breathing,Gasp
breathing,Hiss
breathing,Respiratory_sounds
breathing,Sigh
breathing,Sneeze
breathing,breathing
car_crash,Crash
car_crash,Drift
car_crash,car_crash
construction_noise,Mechanisms
construction_noise,Ratchet_and_pawl
construction_noise,machine
construction_noise,Drill
construction_noise,Drilling
construction_noise,Hammer
construction_noise,Jackhammer
construction_noise,Pneumatic_drill
construction_noise,Pneumatic_jackhammer
construction_noise,Power_tool
construction_noise,Sawing
construction_noise,Scissors
construction_noise,Tools
construction_noise,construction_noise
construction_noise,construction_tool
crying,Cry
crying,Crying
crying,Crying_and_sobbing
crying,Disgust_speech
crying,RAVDESS_disgust
crying,babycry
crying,crying
dog,Bark
dog,Dog
dog,Growling
dog,dog
dog,dog_bark
domestic_activity,Burping_and_eructation
domestic_activity,Camera
domestic_activity,Chewing_and_mastication
domestic_activity,Clock
domestic_activity,Computer_keyboard
domestic_activity,Crumpling_and_crinkling
domestic_activity,Domestic_sounds_and_home_sounds
domestic_activity,Fart
domestic_activity,Frying_(food)
domestic_activity,Packing_tape_and_duct_tape
domestic_activity,Squeak
domestic_activity,Tearing
domestic_activity,Tick
domestic_activity,Tick-tock
domestic_activity,Typing
domestic_activity,Writing
domestic_activity,Zipper_(clothing)
domestic_activity,domestic_activity
domestic_activity,Printer
domestic_activity,Typewriter
domestic_activity,Mechanical_fan
domestic_activity,Microwave_oven
doors,Cupboard_open_or_close
doors,Door
doors,Drawer_open_or_close
doors,Knock
doors,doors
doors,Keys_jangling
doors,Slam
engine,Accelerating_and_revving_and_vroom
engine,Engine
engine,Engine_starting
engine,Idling
engine,engine
engine,engine_idling
fight,Angry_speech
fight,Fearful_speech
fight,Hit
fight,RAVDESS_angry
fight,RAVDESS_fearful
fight,Scream
fight,Screaming
fight,Screech
fight,Shout
fight,Violence
fight,Yell
fight,crime
fight,fight
fight,jambret
fight,maling
fight,rampok
fight,scream
fight,tolong
fire,Fire
fire,Fireworks
fire,Ignition
fire,fire
fire,fireworks
glass_breaking,Crack
glass_breaking,Crackle
glass_breaking,Glass
glass_breaking,Shatter
glass_breaking,glass_break
glass_breaking,glass_breaking
glass_breaking,glass_breaking_raw
glass_breaking,glassbreak
gun_explosion,AK-12
gun_explosion,AK-47
gun_explosion,Boom
gun_explosion,Explosion
gun_explosion,Firearm_discharge
gun_explosion,Gun_shot
gun_explosion,Gunshot
gun_explosion,Gunshot_and_gunfire
gun_explosion,IMI Desert Eagle
gun_explosion,M16
gun_explosion,M249
gun_explosion,M4
gun_explosion,MG-42
gun_explosion,MP5
gun_explosion,Zastava M92
gun_explosion,explosion
gun_explosion,gun_shot
gun_explosion,gunshot
human_activity,Crowd
human_activity,Human_group_actions
human_activity,Children_playing
human_activity,Kids_playing
human_activity,Playground_activity
human_activity,Street_performance
human_activity,Busking
human_activity,human_activity
human_activity,Hands
human_activity,Applause
movement,Run
movement,Skateboard
movement,Walk_and_footsteps
movement,footsteps
impact_rattle,ManipulatingObjects
impact_rattle,Tap
impact_rattle,Thump_and_thud
impact_rattle,Rattle
impact_rattle,impact_rattle
impact_rattle,Dishes_and_pots_and_pans
impact_rattle,Cutlery_and_silverware
impact_rattle,Coin_(dropping)
impact_rattle,Crushing
instrument_music,Female_singing
instrument_music,Male_singing
instrument_music,Singing
instrument_music,Accordion
instrument_music,Acoustic_guitar
instrument_music,Bass_drum
instrument_music,Bass_guitar
instrument_music,Bowed_string_instrument
instrument_music,Brass_instrument
instrument_music,Cowbell
instrument_music,Crash_cymbal
instrument_music,Cymbal
instrument_music,Drum
instrument_music,Drum_kit
instrument_music,Electric_guitar
instrument_music,Glockenspiel
instrument_music,Gong
instrument_music,Guitar
instrument_music,Harmonica
instrument_music,Harp
instrument_music,Hi-hat
instrument_music,Keyboard_(musical)
instrument_music,Mallet_percussion
instrument_music,Marimba_and_xylophone
instrument_music,Musical_instrument
instrument_music,Organ
instrument_music,Percussion
instrument_music,Piano
instrument_music,Plucked_string_instrument
instrument_music,Rattle_(instrument)
instrument_music,Scratching_(performance_technique)
instrument_music,Snare_drum
instrument_music,Strum
instrument_music,Tabla
instrument_music,Tambourine
instrument_music,Trumpet
instrument_music,Wind_instrument_and_woodwind_instrument
instrument_music,instrument
instrument_music,Live_music
instrument_music,Street_music
instrument_music,music
notifications,Buzz
notifications,Bell
notifications,Bicycle_bell
notifications,Chime
notifications,Church_bell
notifications,Doorbell
notifications,Notifications
