"audio","label","labels","human_label","human_labels","path"
"255850.wav","/m/07pp_mv","[""/m/0242l"", ""/m/07pp_mv"", ""/t/dd00071""]","alarm","[""Coin_(dropping)"", ""Domestic_sounds_and_home_sounds"", ""alarm""]","audios/train\255850.wav"
"87315.wav","/m/02mk9","[""/m/0242l"", ""/m/07pbtc8"", ""/m/01s0vc"", ""/m/01h8n0"", ""/m/01bjv"", ""/m/07pp_mv"", ""/m/02mk9"", ""/t/dd00071"", ""/m/09x0r"", ""/m/09l8g"", ""/m/012f08"", ""/m/07yv9""]","engine","[""Walk_and_footsteps"", ""Zipper_(clothing)"", ""alarm"", ""Domestic_sounds_and_home_sounds"", ""Bus"", ""Coin_(dropping)"", ""Motor_vehicle_(road)"", ""Speech"", ""Human_voice"", ""engine"", ""Conversation"", ""Vehicle""]","audios/train\87315.wav"
"403457.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\403457.wav"
"402958.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\402958.wav"
"425496.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\425496.wav"
"66585.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\66585.wav"
"66586.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\66586.wav"
"29724.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\29724.wav"
"427039.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\427039.wav"
"83488.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\83488.wav"
"184355.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\184355.wav"
